timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime,aiMode,aiForce
0.135,2.9995,-0.0436,0,0.0,true,1,19.5221,Free Play,0,0.3500,,Off,0.0000
0.235,2.9931,-0.0834,0,0.0,true,1,19.5156,Free Play,0,0.3500,,Off,0.0000
0.351,2.9805,-0.1339,0,0.0,true,1,19.5020,Free Play,0,0.3500,,Off,0.0000
0.452,2.9647,-0.1835,0,0.0,true,1,19.4837,Free Play,0,0.3500,,Off,0.0000
0.568,2.9395,-0.2512,0,0.0,true,1,19.4519,Free Play,0,0.3500,,Off,0.0000
0.668,2.9109,-0.3214,0,0.0,true,1,19.4118,Free Play,0,0.3500,,Off,0.0000
0.785,2.8678,-0.4214,0,0.0,true,1,19.3433,Free Play,0,0.3500,,Off,0.0000
0.902,2.8115,-0.5466,0,0.0,true,1,19.2399,Free Play,0,0.3500,,Off,0.0000
1.018,2.7390,-0.7037,0,0.0,false,1,19.0832,Free Play,0,0.3500,,Off,0.0000
1.052,0.0,0.0,-1,1.77,false,1,,Free Play,0,0.3500,0.034,,0.0000
1.135,2.8225,0.8734,0,0.0,true,1,19.5063,Free Play,0,0.3500,,Off,0.0000
1.235,2.9038,0.7510,0,0.0,true,1,19.6259,Free Play,0,0.3500,,Off,0.0000
1.269,0.0,0.0,-1,1.77,false,1,,Free Play,0,0.3500,0.000,,0.0000
1.352,3.1618,2.4351,0,0.0,true,1,22.5828,Free Play,0,0.3500,,Off,0.0000
1.457,3.4190,2.4939,0,0.0,true,1,22.3546,Free Play,0,0.3500,,Off,0.0000
1.569,0.0,0.0,1,1.77,false,1,,Free Play,0,0.3500,0.000,,0.0000
1.572,3.6824,0.9446,0,0.0,false,1,18.6660,Free Play,0,0.3500,,Off,0.0000
1.673,3.7915,1.2352,0,0.0,false,1,18.3831,Free Play,0,0.3500,,Off,0.0000
1.735,0.0,0.0,1,1.77,false,1,,Free Play,0,0.3500,0.163,,0.0000
1.785,3.8345,-0.1462,0,0.0,false,1,17.3682,Free Play,0,0.3500,,Off,0.0000
1.885,3.8376,0.2057,0,0.0,false,1,17.3596,Free Play,0,0.3500,,Off,0.0000
1.937,0.0,0.0,1,1.77,false,1,,Free Play,0,0.3500,0.365,,0.0000
2.002,3.7389,-1.1479,0,0.0,false,1,18.5801,Free Play,0,0.3500,,Off,0.0000
2.102,3.6400,-0.8367,0,0.0,false,1,18.7765,Free Play,0,0.3500,,Off,0.0000
2.206,3.5679,-0.5588,0,0.0,false,1,18.8981,Free Play,0,0.3500,,Off,0.0000
2.269,0.0,0.0,1,1.77,false,1,,Free Play,0,0.3500,0.697,,0.0000
2.318,3.4016,-2.0585,0,0.0,true,1,21.4089,Free Play,0,0.3500,,Off,0.0000
2.419,3.2034,-1.9076,0,0.0,true,1,21.4207,Free Play,0,0.3500,,Off,0.0000
2.519,3.0159,-1.8548,0,0.0,true,1,21.2628,Free Play,0,0.3500,,Off,0.0000
2.635,2.7976,-1.9098,0,0.0,true,1,20.8690,Free Play,0,0.3500,,Off,0.0000
2.685,0.0,0.0,-1,1.77,false,1,,Free Play,0,0.3500,0.000,,0.0000
2.752,2.7131,-0.3178,0,0.0,false,1,18.7834,Free Play,0,0.3500,,Off,0.0000
2.852,2.6725,-0.4950,0,0.0,false,1,18.6829,Free Play,0,0.3500,,Off,0.0000
2.903,0.0,0.0,-1,1.77,false,1,,Free Play,0,0.3500,0.151,,0.0000
2.969,2.7486,1.0409,0,0.0,false,1,19.4140,Free Play,0,0.3500,,Off,0.0000
3.085,2.8589,0.8631,0,0.0,true,1,19.6032,Free Play,0,0.3500,,Off,0.0000
3.186,2.9400,0.7585,0,0.0,true,1,19.7089,Free Play,0,0.3500,,Off,0.0000
3.202,0.0,0.0,-1,1.77,false,1,,Free Play,0,0.3500,0.000,,0.0000
3.302,3.2286,2.4731,0,0.0,true,1,22.6411,Free Play,0,0.3500,,Off,0.0000
3.402,3.4795,2.5594,0,0.0,true,1,22.3406,Free Play,0,0.3500,,Off,0.0000
3.502,3.7457,2.7644,0,0.0,false,1,21.7047,Free Play,0,0.3500,,Off,0.0000
3.552,0.0,0.0,1,1.77,false,1,,Free Play,0,0.3500,0.050,,0.0000
3.623,3.9464,1.3912,0,0.0,false,1,17.5785,Free Play,0,0.3500,,Off,0.0000
3.736,4.1281,1.8314,0,0.0,false,1,16.8985,Free Play,0,0.3500,,Off,0.0000
3.753,0.0,0.0,1,1.77,false,1,,Free Play,0,0.3500,0.251,,0.0000
3.840,4.1585,0.5256,0,0.0,false,1,15.1082,Free Play,0,0.3500,,Off,0.0000
3.936,0.0,0.0,1,1.77,false,1,,Free Play,0,0.3500,0.434,,0.0000
3.952,4.1882,-0.7225,0,0.0,false,1,14.9809,Free Play,0,0.3500,,Off,0.0000
4.054,4.1393,-0.2480,0,0.0,false,1,15.1602,Free Play,0,0.3500,,Off,0.0000
4.135,0.0,0.0,1,1.77,false,1,,Free Play,0,0.3500,0.633,,0.0000
4.170,4.0557,-1.4792,0,0.0,false,1,16.8931,Free Play,0,0.3500,,Off,0.0000
4.285,3.9137,-0.9824,0,0.0,false,1,17.3208,Free Play,0,0.3500,,Off,0.0000
4.301,0.0,0.0,1,1.77,false,1,,Free Play,0,0.3500,0.799,,0.0000
4.386,3.6580,-2.3689,0,0.0,false,1,21.1467,Free Play,0,0.3500,,Off,0.0000
4.503,3.4007,-2.0618,0,0.0,true,1,21.4181,Free Play,0,0.3500,,Off,0.0000
4.619,3.1718,-1.8967,0,0.0,true,1,21.4143,Free Play,0,0.3500,,Off,0.0000
4.719,2.9847,-1.8596,0,0.0,true,1,21.2286,Free Play,0,0.3500,,Off,0.0000
4.835,2.7661,-1.9315,0,0.0,false,1,20.8018,Free Play,0,0.3500,,Off,0.0000
4.918,0.0,0.0,-1,1.77,false,1,,Free Play,0,0.3500,0.084,,0.0000
4.935,2.6210,-0.3283,0,0.0,false,1,18.3741,Free Play,0,0.3500,,Off,0.0000
5.052,2.5679,-0.5839,0,0.0,false,1,18.2201,Free Play,0,0.3500,,Off,0.0000
5.086,0.0,0.0,-1,1.77,false,1,,Free Play,0,0.3500,0.251,,0.0000
5.152,2.6445,0.9408,0,0.0,false,1,18.8752,Free Play,0,0.3500,,Off,0.0000
5.270,2.7407,0.7040,0,0.0,false,1,19.0901,Free Play,0,0.3500,,Off,0.0000
5.386,2.8112,0.5198,0,0.0,true,1,19.2246,Free Play,0,0.3500,,Off,0.0000
5.501,2.8626,0.3728,0,0.0,true,1,19.3102,Free Play,0,0.3500,,Off,0.0000
5.618,2.8988,0.2523,0,0.0,true,1,19.3642,Free Play,0,0.3500,,Off,0.0000
5.718,2.9196,0.1647,0,0.0,true,1,19.3928,Free Play,0,0.3500,,Off,0.0000
5.818,2.9321,0.0867,0,0.0,true,1,19.4092,Free Play,0,0.3500,,Off,0.0000
5.919,2.9371,0.0139,0,0.0,true,1,19.4157,Free Play,0,0.3500,,Off,0.0000
5.935,0.0,0.0,-1,1.77,false,1,,Free Play,0,0.3500,0.000,,0.0000
6.036,3.1403,1.7192,0,0.0,true,1,21.0978,Free Play,0,0.3500,,Off,0.0000
6.152,3.3421,1.7728,0,0.0,true,1,20.9949,Free Play,0,0.3500,,Off,0.0000
